Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1983-06-01 00:00;1983-07-01 00:00;jun-83;15.1;Y
1983-07-01 00:00;1983-08-01 00:00;jul-83;19.0;Y
1983-08-01 00:00;1983-09-01 00:00;aug-83;18.5;Y
1983-09-01 00:00;1983-10-01 00:00;sep-83;12.7;Y
1983-10-01 00:00;1983-11-01 00:00;okt-83;7.8;Y
1983-11-01 00:00;1983-12-01 00:00;nov-83;1.7;Y
1983-12-01 00:00;1984-01-01 00:00;dec-83;-0.5;Y
1984-01-01 00:00;1984-02-01 00:00;jan-84;-2.2;Y
1984-02-01 00:00;1984-03-01 00:00;feb-84;-0.9;Y
1984-03-01 00:00;1984-04-01 00:00;mar-84;-1.1;Y
1984-04-01 00:00;1984-05-01 00:00;apr-84;6.2;Y
1984-05-01 00:00;1984-06-01 00:00;maj-84;12.1;Y
1984-06-01 00:00;1984-07-01 00:00;jun-84;14.4;Y
1984-07-01 00:00;1984-08-01 00:00;jul-84;16.3;Y
1984-08-01 00:00;1984-09-01 00:00;aug-84;17.1;Y
1984-09-01 00:00;1984-10-01 00:00;sep-84;11.0;Y
1984-10-01 00:00;1984-11-01 00:00;okt-84;9.2;Y
1984-11-01 00:00;1984-12-01 00:00;nov-84;4.7;Y
1984-12-01 00:00;1985-01-01 00:00;dec-84;1.4;Y
1985-01-01 00:00;1985-02-01 00:00;jan-85;-8.2;Y
1985-02-01 00:00;1985-03-01 00:00;feb-85;-10.8;Y
1985-03-01 00:00;1985-04-01 00:00;mar-85;-0.8;Y
1985-04-01 00:00;1985-05-01 00:00;apr-85;2.5;Y
1985-05-01 00:00;1985-06-01 00:00;maj-85;10.3;Y
1985-06-01 00:00;1985-07-01 00:00;jun-85;14.7;Y
1985-07-01 00:00;1985-08-01 00:00;jul-85;16.9;Y
1985-08-01 00:00;1985-09-01 00:00;aug-85;16.2;Y
1985-09-01 00:00;1985-10-01 00:00;sep-85;10.7;Y
1985-10-01 00:00;1985-11-01 00:00;okt-85;8.3;Y
1985-11-01 00:00;1985-12-01 00:00;nov-85;0.8;Y
1985-12-01 00:00;1986-01-01 00:00;dec-85;-3.7;Y
1986-01-01 00:00;1986-02-01 00:00;jan-86;-4.2;Y
1986-02-01 00:00;1986-03-01 00:00;feb-86;-7.5;Y
1986-03-01 00:00;1986-04-01 00:00;mar-86;1.1;Y
1986-04-01 00:00;1986-05-01 00:00;apr-86;3.0;Y
1986-05-01 00:00;1986-06-01 00:00;maj-86;12.8;Y
1986-06-01 00:00;1986-07-01 00:00;jun-86;16.2;Y
1986-07-01 00:00;1986-08-01 00:00;jul-86;17.3;Y
1986-08-01 00:00;1986-09-01 00:00;aug-86;13.9;Y
1986-09-01 00:00;1986-10-01 00:00;sep-86;9.3;Y
1986-10-01 00:00;1986-11-01 00:00;okt-86;7.5;Y
1986-11-01 00:00;1986-12-01 00:00;nov-86;5.2;Y
1986-12-01 00:00;1987-01-01 00:00;dec-86;-0.8;Y
1987-01-01 00:00;1987-02-01 00:00;jan-87;-11.2;Y
1987-02-01 00:00;1987-03-01 00:00;feb-87;-3.5;Y
1987-03-01 00:00;1987-04-01 00:00;mar-87;-3.3;Y
1987-04-01 00:00;1987-05-01 00:00;apr-87;5.0;Y
1987-05-01 00:00;1987-06-01 00:00;maj-87;8.8;Y
