Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1991-09-01 00:00;1991-10-01 00:00;sep-91;13.7;Y
1991-10-01 00:00;1991-11-01 00:00;okt-91;8.7;Y
1991-11-01 00:00;1991-12-01 00:00;nov-91;5.4;Y
1991-12-01 00:00;1992-01-01 00:00;dec-91;3.6;Y
1992-01-01 00:00;1992-02-01 00:00;jan-92;2.7;Y
1992-02-01 00:00;1992-03-01 00:00;feb-92;3.1;Y
1992-03-01 00:00;1992-04-01 00:00;mar-92;4.3;Y
1992-04-01 00:00;1992-05-01 00:00;apr-92;5.5;Y
1992-05-01 00:00;1992-06-01 00:00;maj-92;14.0;Y
1992-06-01 00:00;1992-07-01 00:00;jun-92;19.0;Y
1992-07-01 00:00;1992-08-01 00:00;jul-92;18.4;Y
1992-08-01 00:00;1992-09-01 00:00;aug-92;16.4;Y
1992-09-01 00:00;1992-10-01 00:00;sep-92;13.4;Y
1992-10-01 00:00;1992-11-01 00:00;okt-92;5.5;Y
1992-11-01 00:00;1992-12-01 00:00;nov-92;4.4;Y
1992-12-01 00:00;1993-01-01 00:00;dec-92;2.8;Y
1993-01-01 00:00;1993-02-01 00:00;jan-93;2.2;Y
1993-02-01 00:00;1993-03-01 00:00;feb-93;1.1;Y
1993-03-01 00:00;1993-04-01 00:00;mar-93;2.9;Y
1993-04-01 00:00;1993-05-01 00:00;apr-93;8.7;Y
1993-05-01 00:00;1993-06-01 00:00;maj-93;14.6;Y
1993-06-01 00:00;1993-07-01 00:00;jun-93;14.6;Y
1993-07-01 00:00;1993-08-01 00:00;jul-93;15.0;Y
1993-08-01 00:00;1993-09-01 00:00;aug-93;14.6;Y
1993-09-01 00:00;1993-10-01 00:00;sep-93;10.8;Y
1993-10-01 00:00;1993-11-01 00:00;okt-93;7.4;Y
1993-11-01 00:00;1993-12-01 00:00;nov-93;2.4;Y
1993-12-01 00:00;1994-01-01 00:00;dec-93;1.4;Y
1994-01-01 00:00;1994-02-01 00:00;jan-94;1.6;Y
1994-02-01 00:00;1994-03-01 00:00;feb-94;-3.5;Y
1994-03-01 00:00;1994-04-01 00:00;mar-94;2.7;Y
1994-04-01 00:00;1994-05-01 00:00;apr-94;8.0;Y
1994-05-01 00:00;1994-06-01 00:00;maj-94;12.3;Y
1994-06-01 00:00;1994-07-01 00:00;jun-94;13.8;Y
1994-07-01 00:00;1994-08-01 00:00;jul-94;21.2;Y
1994-08-01 00:00;1994-09-01 00:00;aug-94;18.3;Y
1994-09-01 00:00;1994-10-01 00:00;sep-94;12.7;Y
1994-10-01 00:00;1994-11-01 00:00;okt-94;7.5;Y
1994-11-01 00:00;1994-12-01 00:00;nov-94;5.6;Y
1994-12-01 00:00;1995-01-01 00:00;dec-94;4.1;Y
1995-01-01 00:00;1995-02-01 00:00;jan-95;-0.5;Y
1995-02-01 00:00;1995-03-01 00:00;feb-95;3.3;Y
1995-03-01 00:00;1995-04-01 00:00;mar-95;3.1;Y
1995-04-01 00:00;1995-05-01 00:00;apr-95;6.3;Y
1995-09-01 00:00;1995-10-01 00:00;sep-95;12.9;Y
1995-10-01 00:00;1995-11-01 00:00;okt-95;11.0;Y
1995-11-01 00:00;1995-12-01 00:00;nov-95;2.3;Y
1995-12-01 00:00;1996-01-01 00:00;dec-95;-2.2;Y
1996-01-01 00:00;1996-02-01 00:00;jan-96;-2.3;Y
