Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1967-04-01 00:00;1967-05-01 00:00;apr-67;0.7;Y
1967-05-01 00:00;1967-06-01 00:00;maj-67;5.5;Y
1967-06-01 00:00;1967-07-01 00:00;jun-67;11.9;Y
1967-07-01 00:00;1967-08-01 00:00;jul-67;14.5;Y
1967-08-01 00:00;1967-09-01 00:00;aug-67;14.1;Y
1967-09-01 00:00;1967-10-01 00:00;sep-67;10.3;Y
1967-10-01 00:00;1967-11-01 00:00;okt-67;3.2;Y
1967-11-01 00:00;1967-12-01 00:00;nov-67;0.9;Y
1967-12-01 00:00;1968-01-01 00:00;dec-67;-15.0;Y
1968-01-01 00:00;1968-02-01 00:00;jan-68;-16.9;Y
1968-02-01 00:00;1968-03-01 00:00;feb-68;-14.8;Y
1968-03-01 00:00;1968-04-01 00:00;mar-68;-4.5;Y
1968-04-01 00:00;1968-05-01 00:00;apr-68;1.3;Y
1968-05-01 00:00;1968-06-01 00:00;maj-68;4.0;Y
1968-06-01 00:00;1968-07-01 00:00;jun-68;13.1;Y
1968-07-01 00:00;1968-08-01 00:00;jul-68;14.4;Y
1968-08-01 00:00;1968-09-01 00:00;aug-68;13.1;Y
1968-09-01 00:00;1968-10-01 00:00;sep-68;6.7;Y
1968-10-01 00:00;1968-11-01 00:00;okt-68;-2.3;Y
1968-11-01 00:00;1968-12-01 00:00;nov-68;-7.9;Y
1968-12-01 00:00;1969-01-01 00:00;dec-68;-4.1;Y
1969-01-01 00:00;1969-02-01 00:00;jan-69;-11.7;Y
1969-02-01 00:00;1969-03-01 00:00;feb-69;-17.0;Y
1969-03-01 00:00;1969-04-01 00:00;mar-69;-8.2;Y
1969-04-01 00:00;1969-05-01 00:00;apr-69;-0.6;Y
1969-05-01 00:00;1969-06-01 00:00;maj-69;4.7;Y
1969-06-01 00:00;1969-07-01 00:00;jun-69;13.9;Y
1969-07-01 00:00;1969-08-01 00:00;jul-69;15.5;Y
1969-08-01 00:00;1969-09-01 00:00;aug-69;15.9;Y
1969-09-01 00:00;1969-10-01 00:00;sep-69;8.1;Y
